# {"t_start": 1539561987.4822626, "env_id": "Arm-v0"} 
r,l,t
-50.0,50,3.37156
-49.0,50,6.705186
-50.0,50,10.038609
-50.0,50,13.371415
-50.0,50,16.704877
-3.0,50,20.038421
-50.0,50,23.37131
-49.0,50,26.705113
-50.0,50,30.037755
-50.0,50,33.371225
-50.0,50,36.704731
-50.0,50,40.038229
-50.0,50,43.371473
-50.0,50,46.705284
-50.0,50,50.038387
-50.0,50,53.372503
-50.0,50,56.705125
-50.0,50,60.038466
-50.0,50,63.371493
-50.0,50,66.704842
-48.0,50,70.03814
-50.0,50,73.37165
-50.0,50,76.703771
-50.0,50,80.041166
-50.0,50,83.371564
0.0,50,86.70499
0.0,50,90.039096
0.0,50,93.371753
-50.0,50,96.702904
-49.0,50,100.040985
-50.0,50,103.371846
-49.0,50,106.704465
-50.0,50,110.038558
-49.0,50,113.373893
-50.0,50,116.702342
-1.0,50,120.038428
-50.0,50,123.371331
-49.0,50,126.704806
-1.0,50,130.039085
-47.0,50,133.373974
-50.0,50,136.705094
-3.0,50,140.038505
-50.0,50,143.371458
0.0,50,146.702295
-50.0,50,150.03981
-50.0,50,153.371355
-50.0,50,156.704751
-50.0,50,160.03832
-50.0,50,163.371735
-6.0,50,166.705939
-50.0,50,170.035945
-50.0,50,173.371387
-50.0,50,176.705237
-47.0,50,180.035932
-50.0,50,183.371635
-48.0,50,186.705568
-50.0,50,190.038265
-50.0,50,193.37166
-50.0,50,196.704942
-50.0,50,200.036824
-46.0,50,203.371133
-49.0,50,206.705568
-50.0,50,210.038308
-50.0,50,213.3715
-50.0,50,216.705474
-50.0,50,220.038324
-50.0,50,223.370639
-50.0,50,226.702479
-50.0,50,230.036908
-50.0,50,233.370444
-50.0,50,236.70498
-50.0,50,240.037752
-50.0,50,243.370473
-50.0,50,246.706102
-49.0,50,250.037755
-50.0,50,253.371119
-1.0,50,256.704762
-49.0,50,260.041141
-3.0,50,263.371076
-50.0,50,266.704796
-50.0,50,270.037778
-5.0,50,273.370119
-50.0,50,276.704964
-50.0,50,280.038085
-50.0,50,283.372385
-50.0,50,286.704798
0.0,50,290.037623
-50.0,50,293.371414
-50.0,50,296.704188
-49.0,50,300.038163
-50.0,50,303.371402
-3.0,50,306.704823
-50.0,50,310.04423
-2.0,50,313.371466
-49.0,50,316.704958
-50.0,50,320.038324
-50.0,50,323.372456
-2.0,50,326.704137
-9.0,50,330.038175
-50.0,50,333.371176
0.0,50,336.704754
-50.0,50,340.03727
-1.0,50,343.371495
-49.0,50,346.705007
-2.0,50,350.041989
-1.0,50,353.371197
-47.0,50,356.703375
-4.0,50,360.038566
-50.0,50,363.371099
-3.0,50,366.704813
-4.0,50,370.038275
0.0,50,373.37043
-50.0,50,376.704643
-3.0,50,380.038677
-50.0,50,383.371454
-50.0,50,386.704818
-50.0,50,390.037766
-4.0,50,393.371519
-50.0,50,396.702821
-50.0,50,400.038865
