# {"env_id": "Arm-v0", "t_start": 1539561521.0432806} 
r,l,t
-48.0,50,1.721256
-48.0,50,2.752868
-50.0,50,3.374769
-50.0,50,4.100477
-49.0,50,4.780837
-48.0,50,5.476106
-49.0,50,6.159041
-50.0,50,6.888582
-48.0,50,7.584757
-47.0,50,8.337116
-46.0,50,9.026294
-50.0,50,9.573813
-49.0,50,10.175237
-50.0,50,10.733204
-49.0,50,11.282871
-45.0,50,11.954443
-49.0,50,12.582036
-50.0,50,13.273624
-47.0,50,13.90466
-48.0,50,14.524346
-50.0,50,15.501307
-48.0,50,16.266124
-45.0,50,16.993213
-49.0,50,17.561916
-45.0,50,18.280422
-47.0,50,18.791135
-48.0,50,19.459083
-49.0,50,20.09962
-46.0,50,20.942449
-49.0,50,21.816073
-49.0,50,22.53428
-50.0,50,23.33715
-43.0,50,23.888092
-50.0,50,24.405191
-50.0,50,25.257673
-47.0,50,25.930764
-47.0,50,26.697144
-48.0,50,27.396773
-45.0,50,28.065473
-46.0,50,28.837568
-45.0,50,29.403653
-49.0,50,30.117216
-49.0,50,30.966965
-49.0,50,31.650118
-50.0,50,32.234956
-49.0,50,32.817409
-48.0,50,33.3519
-50.0,50,33.924478
-50.0,50,34.517321
-50.0,50,35.167657
-44.0,50,36.121988
-50.0,50,36.249465
-42.0,50,36.359505
-45.0,50,36.476953
-50.0,50,36.588991
-50.0,50,36.699326
-50.0,50,36.808464
-48.0,50,36.908317
-50.0,50,37.003525
-46.0,50,37.116655
-49.0,50,37.311409
-48.0,50,38.156404
-50.0,50,38.912442
-47.0,50,39.513889
-50.0,50,40.160534
-45.0,50,40.791178
-48.0,50,41.326871
-44.0,50,41.93911
-50.0,50,42.434259
-50.0,50,42.923301
-50.0,50,43.573242
-50.0,50,44.507157
-50.0,50,45.239818
-50.0,50,45.844665
-49.0,50,46.412319
-49.0,50,46.996956
-50.0,50,47.602896
-49.0,50,48.390689
-45.0,50,49.123578
-49.0,50,49.970556
-48.0,50,50.802103
-50.0,50,51.665336
-50.0,50,52.589598
-49.0,50,53.556722
-50.0,50,54.374433
-48.0,50,55.131368
-47.0,50,55.878779
-49.0,50,56.565077
-50.0,50,57.388711
-47.0,50,58.269632
-48.0,50,58.957398
